🇨🇳央视,#genre#
CCTV1,http://39.134.66.48/PLTV/88888888/224/3221225816/index.m3u8
CCTV1,http://39.134.67.226/PLTV/88888888/224/3221225816/index.m3u8
CCTV1,http://39.134.65.179/PLTV/88888888/224/3221225816/index.m3u8
CCTV1,http://39.134.65.181/PLTV/88888888/224/3221225816/index.m3u8
CCTV1,http://39.134.61.219/PLTV/88888888/224/3221226443/index.m3u8
CCTV1,http://39.134.61.219/PLTV/88888888/224/3221226709/index.m3u8
CCTV1,http://39.134.61.219/PLTV/88888888/224/3221226746/index.m3u8
CCTV1,http://39.134.61.219/PLTV/88888888/224/3221226896/index.m3u8
CCTV1,http://39.134.61.219/PLTV/88888888/224/3221227005/index.m3u8
CCTV1,http://39.134.61.219/PLTV/88888888/224/3221227090/index.m3u8
CCTV1,http://39.134.67.7:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV2,http://39.134.61.219/PLTV/88888888/224/3221226468/index.m3u8
CCTV2,http://39.134.61.219/PLTV/88888888/224/3221226843/index.m3u8
CCTV2,http://39.134.61.219/PLTV/88888888/224/3221226929/index.m3u8
CCTV3,http://39.134.61.219/PLTV/88888888/224/3221226898/index.m3u8
CCTV3,http://39.134.66.46/PLTV/88888888/224/3221225799/index.m3u8
CCTV3,http://39.134.65.179/PLTV/88888888/224/3221225799/index.m3u8
CCTV3,http://39.134.65.181/PLTV/88888888/224/3221225799/index.m3u8
CCTV3,http://39.134.65.173/PLTV/88888888/224/3221225799/index.m3u8
CCTV3,http://39.134.65.183/PLTV/88888888/224/3221225799/index.m3u8
CCTV3,http://39.134.65.175/PLTV/88888888/224/3221225799/index.m3u8
CCTV3,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV4,http://39.134.61.219/PLTV/88888888/224/3221226636/index.m3u8
CCTV4,http://39.134.61.219/PLTV/88888888/224/3221226845/index.m3u8
CCTV5,http://39.134.61.219/PLTV/88888888/224/3221226900/index.m3u8
CCTV5,http://39.134.65.179/PLTV/88888888/224/3221225818/index.m3u8
CCTV5,http://39.134.65.181/PLTV/88888888/224/3221225818/index.m3u8
CCTV5,http://39.134.65.173/PLTV/88888888/224/3221225818/index.m3u8
CCTV6,http://39.134.65.181/PLTV/88888888/224/3221225814/index.m3u8
CCTV6,http://39.134.65.173/PLTV/88888888/224/3221225814/index.m3u8
CCTV6,http://39.134.65.183/PLTV/88888888/224/3221225814/index.m3u8
CCTV6,http://39.134.65.175/PLTV/88888888/224/3221225814/index.m3u8
CCTV6,http://39.134.65.177/PLTV/88888888/224/3221225814/index.m3u8
CCTV6,http://39.134.61.219/PLTV/88888888/224/3221226847/index.m3u8
CCTV7,http://39.134.65.179/PLTV/88888888/224/3221225671/index.m3u8
CCTV7,http://39.134.65.164/PLTV/88888888/224/3221225671/index.m3u8
CCTV7,http://39.134.65.181/PLTV/88888888/224/3221225671/index.m3u8
CCTV7,http://39.134.65.173/PLTV/88888888/224/3221225671/index.m3u8
CCTV7,http://39.134.65.183/PLTV/88888888/224/3221225671/index.m3u8
CCTV7,http://39.134.66.2/PLTV/88888888/224/3221225671/index.m3u8
CCTV7,http://39.134.61.219/PLTV/88888888/224/3221226925/index.m3u8
CCTV8,http://39.134.61.219/PLTV/88888888/224/3221226902/index.m3u8
CCTV8,http://39.134.65.181/PLTV/88888888/224/3221225795/index.m3u8
CCTV8,http://39.134.65.173/PLTV/88888888/224/3221225795/index.m3u8
CCTV8,http://39.134.65.183/PLTV/88888888/224/3221225795/index.m3u8
CCTV8,http://39.134.65.175/PLTV/88888888/224/3221225795/index.m3u8
CCTV8,http://39.134.65.177/PLTV/88888888/224/3221225795/index.m3u8
CCTV9,http://39.134.66.46/PLTV/88888888/224/3221225676/index.m3u8
CCTV9,http://39.134.65.179/PLTV/88888888/224/3221225676/index.m3u8
CCTV9,http://39.134.65.181/PLTV/88888888/224/3221225676/index.m3u8
CCTV9,http://39.134.65.166/PLTV/88888888/224/3221225676/index.m3u8
CCTV9,http://39.134.65.183/PLTV/88888888/224/3221225676/index.m3u8
CCTV9,http://39.134.65.173/PLTV/88888888/224/3221225676/index.m3u8
CCTV9,http://39.134.61.219/PLTV/88888888/224/3221226470/index.m3u8
CCTV9,http://39.134.61.219/PLTV/88888888/224/3221226849/index.m3u8
CCTV9,http://39.134.61.219/PLTV/88888888/224/3221226976/index.m3u8
CCTV10,http://39.134.61.219/PLTV/88888888/224/3221226462/index.m3u8
CCTV10,http://39.134.61.219/PLTV/88888888/224/3221226904/index.m3u8
CCTV10,http://39.134.61.219/PLTV/88888888/224/3221226966/index.m3u8
CCTV10,http://39.134.65.179/PLTV/88888888/224/3221225677/index.m3u8
CCTV10,http://39.134.65.164/PLTV/88888888/224/3221225677/index.m3u8
CCTV10,http://39.134.65.166/PLTV/88888888/224/3221225677/index.m3u8
CCTV10,http://39.134.65.181/PLTV/88888888/224/3221225677/index.m3u8
CCTV10,http://39.134.65.183/PLTV/88888888/224/3221225677/index.m3u8
CCTV11,http://39.134.61.219/PLTV/88888888/224/3221226558/index.m3u8
CCTV11,http://39.134.61.219/PLTV/88888888/224/3221226851/index.m3u8
CCTV12,http://39.134.61.219/PLTV/88888888/224/3221226439/index.m3u8
